2024-06-09 05:48:31,963 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:48:32,113 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:48:32,261 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:48:32,411 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:48:32,749 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:48:32,893 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:48:33,414 - WARNING - env.py - _illegal_move - 230 - 0 is an Illegal move, try again. Currently allowed: [<Action.CHECK: 1>, <Action.RAISE_3BB: 3>, <Action.RAISE_HALF_POT: 4>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:48:41,886 - WARNING - env.py - _illegal_move - 230 - 4 is an Illegal move, try again. Currently allowed: [<Action.CALL: 2>, <Action.FOLD: 0>, <Action.RAISE_3BB: 3>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:48:42,035 - WARNING - env.py - _illegal_move - 230 - 1 is an Illegal move, try again. Currently allowed: [<Action.CALL: 2>, <Action.FOLD: 0>, <Action.RAISE_3BB: 3>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
2024-06-09 05:48:43,783 - WARNING - env.py - _illegal_move - 230 - 4 is an Illegal move, try again. Currently allowed: [<Action.CALL: 2>, <Action.FOLD: 0>, <Action.RAISE_3BB: 3>, <Action.RAISE_POT: 5>, <Action.RAISE_2POT: 6>, <Action.ALL_IN: 7>]
